Date,Adj Close,Close,High,Low,Open,Volume
12-12-2025,1629.960693,1673.199951,1677.900024,1660,1677.400024,1284337
15-12-2025,1640.481689,1684,1688,1660,1673.199951,1689723
16-12-2025,1609.016357,1651.699951,1682,1645.400024,1681,1929309
17-12-2025,1612.231079,1655,1664.5,1646.300049,1651,1394918
18-12-2025,1618.465698,1661.400024,1673.900024,1651.199951,1657,1822056
19-12-2025,1599.956787,1642.400024,1681,1632.5,1675,3487150
22-12-2025,1627.135864,1670.300049,1673.5,1644,1651.900024,1339691
23-12-2025,1636.487671,1679.900024,1686.900024,1656.199951,1675.099976,1614314
24-12-2025,1631.421997,1674.699951,1680,1665.099976,1676,989858
26-12-2025,1617.978638,1660.900024,1676.400024,1650.5,1668,921138
29-12-2025,1588.656494,1630.800049,1660.800049,1625.400024,1659.699951,1516288
30-12-2025,1573.459595,1615.199951,1635.699951,1611.099976,1630.800049,3323273
31-12-2025,1581.350464,1623.300049,1631.699951,1616.800049,1624.5,1359963
01-01-2026,1592.260864,1634.5,1645.699951,1618.400024,1622.900024,773806
02-01-2026,1597.813599,1640.199951,1643,1625.099976,1632,950573
05-01-2026,1566.056152,1607.599976,1633.5,1580.099976,1625,3245802
06-01-2026,1574.531372,1616.300049,1626,1597.300049,1600.300049,2112043
07-01-2026,1605.119751,1647.699951,1654.5,1616.699951,1620.800049,3816569
08-01-2026,1604.14563,1646.699951,1660.599976,1635.400024,1653.300049,3266398
09-01-2026,1618.465698,1661.400024,1675,1647.099976,1647.099976,3281306
12-01-2026,1624.505493,1667.599976,1677.199951,1641.5,1659.199951,4175707
13-01-2026,1621.972656,1665,1697.599976,1626,1685,7149266
14-01-2026,1625.382324,1668.5,1677.900024,1649.199951,1665,2470615
15-01-2026,1625.382324,1668.5,1668.5,1668.5,1668.5,0
16-01-2026,1666.102661,1698,1700.900024,1664.800049,1670,3098089
19-01-2026,1684.549561,1716.800049,1719,1685.099976,1698,2087629
20-01-2026,1655.60376,1687.300049,1720,1681.800049,1720,1739341
21-01-2026,1650.893799,1682.5,1694.900024,1668.900024,1687.599976,1728435
22-01-2026,1671.106812,1703.099976,1709,1681.5,1690.599976,1853439
23-01-2026,1674.933594,1707,1721,1698.800049,1712.699951,1874357
27-01-2026,1687.88562,1720.199951,1725.5,1700.5,1720,2671530
28-01-2026,1697.109009,1729.599976,1734.400024,1691,1705.099976,2713867
29-01-2026,1689.259277,1721.599976,1725,1696.099976,1722.800049,2235602
30-01-2026,1663.747681,1695.599976,1713.199951,1683,1713.199951,4448681
02-02-2026,1645.300903,1676.800049,1688.5,1653.599976,1670,1916380
03-02-2026,1663.453491,1695.300049,1780.099976,1689.099976,1780,3200948
04-02-2026,1591.334106,1621.800049,1645,1586,1642,5834470
05-02-2026,1579.755737,1610,1631.800049,1600.199951,1613.699951,3184531
06-02-2026,1563.761963,1593.699951,1612,1574.099976,1612,3342992
09-02-2026,1571.906006,1602,1619.900024,1594.400024,1600.400024,1863558
10-02-2026,1543.54895,1573.099976,1602.400024,1567.800049,1595,3234785
11-02-2026,1522.452759,1551.599976,1578.099976,1546.099976,1574,2944646
12-02-2026,1448.371094,1476.099976,1535,1469.5,1529,5397659
13-02-2026,1427.863647,1455.199951,1476.800049,1396,1423,7214938
16-02-2026,1434.339844,1461.800049,1467,1446.800049,1451.099976,2388700
17-02-2026,1454.749023,1482.599976,1510.699951,1458,1464,2840341
18-02-2026,1439.638306,1467.199951,1483.199951,1443.400024,1483.199951,2036245
19-02-2026,1423.153931,1450.400024,1501.800049,1443,1470,2397127
20-02-2026,1409.515015,1436.5,1455,1431,1443,2392491
23-02-2026,1399.408447,1426.199951,1441.599976,1415.5,1438.199951,2629763
24-02-2026,1314.042725,1339.199951,1406.699951,1322.5,1402.300049,10004684
25-02-2026,1352.310181,1378.199951,1391.400024,1354,1355,5703505
26-02-2026,1347.698486,1373.5,1405,1368,1391,2329520
27-02-2026,1363.005371,1389.099976,1404.800049,1382,1398,8651443
02-03-2026,1345.245483,1371,1386,1350,1351,2088938
04-03-2026,1338.376953,1364,1382,1356,1356,3161598
05-03-2026,1328.662842,1354.099976,1378.199951,1332.5,1378.199951,2217963
06-03-2026,1331.213989,1356.699951,1380.800049,1354.199951,1356,1871596
09-03-2026,1333.078369,1358.599976,1372.699951,1328,1330,2256550
10-03-2026,1335.92395,1361.5,1364.400024,1345,1361,1671877
11-03-2026,1324.934326,1350.300049,1376,1346.900024,1367.199951,1837000
12-03-2026,1332.587769,1358.099976,1363.400024,1341,1350,2616965
13-03-2026,1300.502075,1325.400024,1356.699951,1321,1350,2190786
16-03-2026,1303.641968,1328.599976,1337.699951,1302.400024,1312.800049,3618375
17-03-2026,1296.282837,1321.099976,1328.599976,1297.699951,1328.599976,2285672
18-03-2026,1331.70459,1357.199951,1378.400024,1326.5,1326.5,2564106
19-03-2026,1287.157593,1311.800049,1354.199951,1309.199951,1341.400024,1663249
20-03-2026,1308.646118,1333.699951,1352.5,1328.900024,1334.900024,5050431
23-03-2026,1333.078369,1358.599976,1365,1310,1314.800049,5166409
24-03-2026,1347.502319,1373.300049,1394,1360,1380,3555664
25-03-2026,1355.352051,1381.300049,1411.400024,1348,1348,4167275
27-03-2026,1338.769409,1364.400024,1407.400024,1359.800049,1377,8956139
